asset_category,source_pack,filename,canonical_id,entity_type,target_repo_path,target_runtime_path,operation,pair_id,dependencies,import_order,width,height,sha256,archive_member
workstation/computer art,ANIME_TYCOON_WORKSTATIONS_PACK.zip,workstation-standard.png,workstation_standard,office workstation,game_source/public/img/workstations/workstation-standard.png,/img/workstations/workstation-standard.png,add,,New image replaces CSS foreground only after Arena placement; bottom-centre baseline 482.,1,768,512,b14e9173384402ad04228bac1151e799912c11069b45f82271021c7fb7ad0db3,runtime/game_source/public/img/workstations/workstation-standard.png
workstation/computer art,ANIME_TYCOON_WORKSTATIONS_PACK.zip,workstation-animation.png,workstation_animation,office workstation,game_source/public/img/workstations/workstation-animation.png,/img/workstations/workstation-animation.png,add,,New image replaces CSS foreground only after Arena placement; bottom-centre baseline 482.,1,768,512,ae287eed94b3647c0958251624da6672693bd6de535a7cbb740bdadfc0eb4d0d,runtime/game_source/public/img/workstations/workstation-animation.png
workstation/computer art,ANIME_TYCOON_WORKSTATIONS_PACK.zip,workstation-audio.png,workstation_audio,office workstation,game_source/public/img/workstations/workstation-audio.png,/img/workstations/workstation-audio.png,add,,New image replaces CSS foreground only after Arena placement; bottom-centre baseline 482.,1,768,512,047869c3c182b8ad3ee206e80e37ca68e1f7710e8fd27546b54e3e88d1c913f9,runtime/game_source/public/img/workstations/workstation-audio.png
